backend,task,deepseek,gemini,dual_mean,status
biomni,da-1-3,0.8700,0.8000,0.8350,ok
biomni,da-1-4,0.8600,0.8600,0.8600,ok
biomni,da-10-1,0.4800,0.3400,0.4100,ok
biomni,da-10-3,1.0000,1.0000,1.0000,ok
biomni,da-11-1,0.7300,0.6300,0.6800,ok
biomni,da-12-2,0.4800,0.4800,0.4800,ok
biomni,da-12-4,0.8600,1.0000,0.9300,ok
biomni,da-13-1,1.0000,1.0000,1.0000,ok
biomni,da-13-3,0.7800,0.7800,0.7800,ok
biomni,da-13-5,0.4000,0.2000,0.3000,ok
biomni,da-13-6,0.5000,0.4000,0.4500,ok
biomni,da-14-1,1.0000,1.0000,1.0000,ok
biomni,da-14-3,0.5900,0.7100,0.6500,ok
biomni,da-14-8,0.5800,0.6300,0.6050,ok
biomni,da-15-1,1.0000,1.0000,1.0000,ok
biomni,da-15-2,0.5300,0.5300,0.5300,ok
biomni,da-15-7,0.7000,0.6700,0.6850,ok
biomni,da-15-8,0.5300,0.7000,0.6150,ok
biomni,da-16-1,0.8000,0.8800,0.8400,ok
biomni,da-17-1,0.8400,0.7800,0.8100,ok
biomni,da-17-3,0.7300,0.7300,0.7300,ok
biomni,da-17-5,0.9200,0.7500,0.8350,ok
biomni,da-18-1,0.7200,0.7200,0.7200,ok
biomni,da-18-5,0.5100,0.3400,0.4250,ok
biomni,da-18-7,0.4900,0.6700,0.5800,ok
biomni,da-19-1,0.7200,0.5500,0.6350,ok
biomni,da-19-3,0.5200,0.4700,0.4950,ok
biomni,da-19-4,0.3000,0.2500,0.2750,ok
biomni,da-19-6,0.4900,0.6200,0.5550,ok
biomni,da-20-1,0.1800,0.3600,0.2700,ok
biomni,da-20-3,0.5200,0.1600,0.3400,ok
biomni,da-20-4,0.2000,0.1500,0.1750,ok
biomni,da-24-3,0.2000,0.2000,0.2000,ok
biomni,da-25-1,0.7100,0.5600,0.6350,ok
biomni,da-26-2,0.4300,0.4300,0.4300,ok
biomni,da-26-4,0.5700,0.4000,0.4850,ok
biomni,da-3-4,1.0000,1.0000,1.0000,ok
biomni,da-3-5,0.9200,1.0000,0.9600,ok
biomni,da-4-1,0.5200,0.7500,0.6350,ok
biomni,da-4-6,0.4800,0.5800,0.5300,ok
biomni,da-4-7,0.7400,0.5100,0.6250,ok
biomni,da-5-1,0.6100,0.6800,0.6450,ok
biomni,da-5-3,0.8200,0.8500,0.8350,ok
biomni,da-6-2,0.2000,0.2500,0.2250,ok
biomni,da-6-5,0.7400,0.2500,0.4950,ok
biomni,da-8-1,1.0000,0.9400,0.9700,ok
biomni,da-8-2,0.4700,0.5700,0.5200,ok
biomni,da-8-3,0.4300,0.4800,0.4550,ok
biomni,da-9-1,0.4900,0.8300,0.6600,ok
biomni,da-9-7,0.5800,0.8600,0.7200,ok
claude_csswitch,da-1-3,0.9200,0.8700,0.8950,ok
claude_csswitch,da-1-4,0.8600,0.9400,0.9000,ok
claude_csswitch,da-10-1,0.5800,0.6000,0.5900,ok
